Meeting,Race Number,Distance,Tab No,Horse,Horseid,Weight,Barrier,Jockey,Jockeyid,Trainer,Trackcondition,Class Change,Hist Run Style,Settling Pos,Neural,age restrictions,Race Cl,Limitweight,sex restrictions,Weighttype,Age,Rno,Sex,Margin,LSFinPos,LSSP,Pricebf,MarketRank,Starters
Chinchilla,4,1200.0,8,Licenced And Ready,957903.0,55.0,3.0,Hannah Phillips,15412,Paul Butterworth,Soft,12.0,mf,3.0,5.0,,Benchmark 60,55.0,,Handicap,4.0,18.0,Mare,0.8,1.0,3.0,,,10
Chinchilla,4,1200.0,10,Two Ducks Artie,859089.0,55.0,10.0,,0,W P Baker,Soft,10.0,bm,10.0,10.0,,Benchmark 60,55.0,,Handicap,10.0,83.0,Gelding,2.1,4.0,31.0,,,10
Chinchilla,4,1200.0,11,Tinder,883032.0,55.0,8.0,Adam Spinks,15708,Stephanie Sixtus,Soft,13.0,mf/bm,6.0,6.0,,Benchmark 60,55.0,,Handicap,8.0,76.0,Mare,8.7,7.0,26.0,,,10
Chinchilla,5,1400.0,1,Darlhisma,941521.0,61.0,6.0,P Hamblin,6633,P W Keenan,Soft,-17.4,bm,6.0,2.0,,Class B,55.0,,Handicap,5.0,12.0,Gelding,6.9,9.0,16.0,,,8
Chinchilla,5,1400.0,2,Super Duck,967349.0,58.0,2.0,Emily Promfrett,17261,M F Hemmings,Soft,-17.7,op/mf,1.0,1.0,,Class B,55.0,,Handicap,4.0,10.0,Gelding,4.2,3.0,9.0,,,8
Chinchilla,5,1400.0,3,Apache Flash,964406.0,58.0,8.0,Tyler Leslight,16966,Troy Pascoe,Soft,-7.3,bm,7.0,5.0,,Class B,55.0,,Handicap,5.0,10.0,Gelding,3.7,6.0,31.0,,,8
Chinchilla,5,1400.0,4,Jatobi,965187.0,58.5,1.0,S Apthorpe,4531,W P Baker,Soft,-9.5,mf,3.0,6.0,,Class B,55.0,,Handicap,4.0,12.0,Gelding,3.0,7.0,9.0,,,8
Chinchilla,5,1400.0,5,Termite,958699.0,58.5,3.0,Adam Spinks,15708,Grant Forge,Soft,-11.8,mf,4.0,7.0,,Class B,55.0,,Handicap,5.0,14.0,Gelding,7.4,8.0,81.0,,,8
Chinchilla,5,1400.0,7,Doro Heart,929382.0,53.0,5.0,Savannah Mc Cann,17181,Ms C Rogers,Soft,-13.1,mf,2.0,3.0,,Class B,55.0,,Handicap,6.0,27.0,Gelding,8.3,4.0,7.0,,,8
Chinchilla,5,1400.0,8,Inhistime,943662.0,55.0,4.0,Hannah Phillips,15412,Colin Storch,Soft,-13.4,mf,5.0,4.0,,Class B,55.0,,Handicap,5.0,27.0,Gelding,2.8,2.0,7.0,,,8
